SCI_NAME,COMPILER,YRCOMPILED,CITATION,LEGEND,PROT_NAME,PROT_DESG
Tamiasciurus douglasii,IUCN,2010,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Tamiasciurus hudsonicus,IUCN,2009,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Zapus hudsonius,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Zapus princeps,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Clethrionomys gapperi,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Microtus longicaudus,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Microtus richardsoni,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Neotoma cinerea,IUCN,2008,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Ursus arctos,"B. McLellan, M Proctor",2016,IUCN SSC Bear Specialist Group,Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Marmota caligata,IUCN,2018,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Canis latrans,Hody and Kays 2018,2018,Hody and Kays 2018,Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Lontra canadensis,IUCN,2015,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Vulpes vulpes,IUCN,2016,IUCN (International Union for Conservation of Nature),Extant & Introduced (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Mus musculus,IUCN,2014,IUCN (International Union for Conservation of Nature),Extant & Introduced (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Myotis lucifugus,Jesika Reimer,2021,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Oreamnos americanus,IUCN,2022,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
Canis lupus,IUCN,2023,IUCN (International Union for Conservation of Nature),Extant (resident),JOFFRE LAKES PARK,PROVINCIAL PARK
